Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s)
blonded radio,RAF [V1],Version of RAF cover without the names.,Bráulio Amado,Digital,,Front Cover,Alternate,/frankgold/art/raf-v1.jpg
blonded radio,RAF [V2],Version of the RAF cover with the names.,Bráulio Amado,Digital,,Front Cover,Used,/frankgold/art/raf-v2.jpg
blonded radio,Provider (Legacy Artwork),"Michel Egger is a graphic designer who’s collaborated with Frank Ocean on many of his cover artworks, including Ocean’s 2016 albums Endless & Blonde. After the release of “Provider” in August 2017, Egger shared an unrealized cover artwork proposal for the single in a since-deleted post on Instagram.",Michel Egger,Digital,,Front Cover,Alternate,/frankgold/art/provider-legacy-artwork.jpg
blonded radio,Provider (Legacy Artwork) [V2],Version with no texture.,Frank Ocean,Digital,,Front Cover,Alternate,/frankgold/art/provider-legacy-artwork-v2.png
blonded radio,Provider,"The single artwork shouts out Heavenly Donuts, a West Coast doughnut chain with 6 locations in California, Oregon, and Washington.",Frank Ocean,Digital,,Front Cover,Used,/frankgold/art/provider.jpg
blonded radio,Provider [OG],"Low quality version posted to Instagram. Replaced the drawn black heart on the top of the screne with ""B2"". Uses brighter colors and different composition.",Frank Ocean,Digital,,Front Cover,Unused,/frankgold/art/provider-og.jpg
blonded radio,Moon River [V1],"The cover artwork for “Moon River” uses an image from Wikipedia’s page about ASMR. The labels swap the information to the lyrics of the song. This is pretty interesting, as Frank may be pointing out the feelings he get while seeing a loved one. The sensation is almost gratifying, the same tingling sensation you get while listening to ASMR. This song was, after-all, dropped on Valentine’s Day. Perhaps a cipher to a lover? The main part of the cover art is an enlarged image of the middle of the diagram in the left corner, which focuses on the area of which the heart lies. This may represent how we follow our hearts or chase after our ends when it comes to love.",Kevin McCaughey,Digital,,Front Cover,Used,/frankgold/art/moon-river-v1.jpg
blonded radio,Moon River [V2],Shows the release date on the bottom.,Kevin McCaughey,Digital,,Front Cover,Alternate,/frankgold/art/moon-river-v2.jpg
blonded radio,Moon River [V3],Has different exposure setting.,Kevin McCaughey,Digital,,Front Cover,Alternate,/frankgold/art/moon-river-v3.jpg
blonded radio,Moon River [V4],Inverted colors as the first version.,Kevin McCaughey,Digital,,Front Cover,Alternate,/frankgold/art/moon-river-v4.jpg
blonded radio,Moon River [V5],Shows the release date on the bottom.,Kevin McCaughey,Digital,,Front Cover,Alternate,/frankgold/art/moon-river-v5.jpg
blonded radio,Moon River [V6],Red color remains on text.,Kevin McCaughey,Digital,,Front Cover,Alternate,/frankgold/art/moon-river-v6.jpg
"Look At Us, We're In Love",Dear April (Vinyl A Side),"The “Dear April” 7-inch vinyl center label & digital download cover artwork exclude the silhouette that appears on the streaming artwork and add the release date to the copyright section. The 7-vinyl was available for purchase on blonded.co in October 2019 (shipping in March 2020), following the song premiere at Ocean’s first PrEP+ nightlife event in New York City on October 17, 2019, and on episode 008 of blonded RADIO on October 19, 2019. Side A is labeled “Acoustic,” the same track later released to music streaming services on April 3, 2020. The graphic lettering is the work of designer Nejc Prah. The black typeface is Monument Grotesk Mono.",Nejc Prah,Scan,,Front Cover,Used,/frankgold/art/dear-april-vinyl-a-side.jpg
"Look At Us, We're In Love",Dear April [Vinyl B Side],"Side B of the “Dear April” 7-inch vinyl is labeled “Justice Remix.” The track featured DJ & producer Justice and was exclusively released on the 7-inch vinyl & accompanying digital download. Justice played the mix live at Ocean’s first PrEP+ nightlife event in New York City on October 17, 2019.",Nejc Prah,Scan,,Back Cover,Used,/frankgold/art/dear-april-vinyl-b-side.jpg
"Look At Us, We're In Love",Dear April [Streaming],"Streaming cover for ""Dear April"".",Nejc Prah,Digital,,Front Cover,Used,/frankgold/art/dear-april-streaming.jpg
"Look At Us, We're In Love",Cayendo [Vinyl A Side],"The cover is based on the center label of the 7-vinyl vinyl sold on blonded.co on October 19, 2019 (shipping in March 2020), following Ocean’s first PrEP+ club night event on October 17th, 2019; side A, labeled “Acoustic,” contained the same track released to music streaming services on April 3rd, 2020.",Nejc Prah,Scan,,Front Cover,Used,/frankgold/art/cayendo-vinyl-a-side.jpg
"Look At Us, We're In Love",Cayendo [Vinyl B Side],"Side B of the “Cayendo” 7-inch vinyl is labeled “Sango Remix.” The track featured DJ & producer Sángo and was exclusively released on the 7-inch vinyl & accompanying digital download. Sángo played the mix live at Ocean’s first PrEP+ nightlife event in New York City on October 17, 2019.",Nejc Prah,Scan,,Back Cover,Used,/frankgold/art/cayendo-vinyl-b-side.jpg
"Look At Us, We're In Love",Cayendo [Streaming Version],"Streaming cover for ""Cayendo"".",Nejc Prah,Digital,,Front Cover,Used,/frankgold/art/cayendo-streaming-version.jpg
"Look At Us, We're In Love",DHL,"The cover features the same photograph of Frank Ocean used as the artwork for episode 008 of blonded RADIO, which premiered the song on October 20, 2019. Ocean’s posture in the image resembles one of the thirteen silhouettes lining the bottom of the artwork. The cover resembles the artwork of the November 2019 single “In My Room,” which featured a similar layout, and the covers of the April 2020 singles “Cayendo” & “Dear April,” which featured one of the many silhouettes.",Michel Egger,Digital,,Front Cover,Used,/frankgold/art/dhl.jpg
"Look At Us, We're In Love",DHL (Alternate),Alternate cover for DHL.,Michel Egger,Digital,,Front Cover,Unused,/frankgold/art/dhl-alternate.jpg
"Look At Us, We're In Love",In My Room (Vinyl A Side),A side for the vinyl version of In My Room. The graphic lettering is the work of designer Nejc Prah. The black typeface is Monument Grotesk Mono.,Nejc Prah,Scan,,Front Cover,Used,/frankgold/art/in-my-room-vinyl-a-side.jpg
"Look At Us, We're In Love",In My Room (Vinyl B Side),Side B of the “In My Room” 7-inch vinyl is labeled “BennY RevivaL Remix.” The track featured the enigmatic rapper BennY RevivaL and was exclusively released on the 7-inch vinyl & accompanying digital download.,Nejc Prah,Scan,,Back Cover,Used,/frankgold/art/in-my-room-vinyl-b-side.jpg
"Look At Us, We're In Love",In My Room [V1],"The cover artwork for the streaming release of “In My Room” was designed by Michel Egger, with photography by Ian Kenneth Bird and PrEP+ styled graphic lettering by Nejc Prah. The cover features the same photograph of Frank Ocean used as the artwork for episode 009 of blonded RADIO that premiered the song on November 3, 2019. Ocean’s posture in the image resembles one of the seventeen silhouettes lining the bottom of the artwork. The cover resembles the artwork of the October 2019 single “DHL,” which featured a similar layout, and the April 2020 digital singles “Cayendo” & “Dear April,” which featured one of the many silhouettes. Unlike the artwork released with the other 7-inch vinyl singles, the streaming version of “In My Room” did not use the vinyl’s center label as its cover.",Michel Egger,Digital,,Front Cover,Unused,/frankgold/art/in-my-room-v1.jpg
"Look At Us, We're In Love",In My Room [V2],Final version of the In My Room streaming cover with a new version of the logo.,Michel Egger,Digital,,Front Cover,Used,/frankgold/art/in-my-room-v2.jpg
"Look At Us, We're In Love",In My Room (Alternate),"Michel Egger, the designer of the “In My Room” artwork, shared an alternate cover proposal on his website following the single’s release. The cover includes additional text with the same layout & type design that appeared on the single’s 7-inch vinyl center label & download card.",Michel Egger,Digital,,Front Cover,Unused,/frankgold/art/in-my-room-alternate.jpg
"Look At Us, We're In Love",Little Demon [Vinyl A Side],"The cover artwork is the center label of the seven-inch vinyl sold on blonded.co in November 2019. The A-side includes the studio version of “Little Demon,” featuring Skepta.",Nejc Prah,Digital,,Front Cover,Unused,/frankgold/art/little-demon-vinyl-a-side.jpg
"Look At Us, We're In Love",Little Demon [Vinyl B Side],"The B-side of the seven-inch vinyl includes Arca’s remix of “Little Demon,” featuring Skepta. The track first appeared at Frank Ocean’s third PrEP+ club night on October 31, 2019, where Arca performed the B-side remix to a small audience of clubgoers.",Nejc Prah,Digital,,Back Cover,Unused,/frankgold/art/little-demon-vinyl-b-side.jpg
"Look At Us, We're In Love",These Days [Vinyl A Side],"The center label on the “These Days” vinyl features the same layout designed by Michel Egger for the three 7-inch singles released by blonded in 2019. The song title is written in graphic lettering by Nejc Prah, while the release and publishing info use the typeface Monument Grotesk Mono. The text on side A reads:Side A / Studio / All rights reserved, copyright 2020 / Published by blonded on 02/25/2020.",Nejc Prah,Photo,,Front Cover,Used,/frankgold/art/these-days-vinyl-a-side.png
"Look At Us, We're In Love",These Days [Vinyl A Side],"A side of the vinyl version of ""These Days"".",Nejc Prah,Recreation,,Front Cover,Used,/frankgold/art/these-days-vinyl-a-side.png
"Look At Us, We're In Love",These Days [Vinyl B Side],"The B-side of the vinyl is blank—unlike Ocean’s other 7-inch singles, which featured remixed versions of their A-sides. The back of the vinyl’s black outer jacket features a UPC-A barcode in the bottom-right corner, reading “81001931088.”",,Photo,,Back Cover,Used,/frankgold/art/these-days-vinyl-b-side.png
Upcoming,blonded Xmas With ICEMAN Announcement,"Taken from his Instagram page. Containing an art work. Features a message on the left of the image. Texts reads as the following. ""Me and @iceman_hof had a conversation some time ago when I was in the earlier stages of grief and I remember marveling afterwards at how his energy blasted through the phone. So much vim in this Wim. We spoke for a while about his work, the purpose of grief and how going into the cold water changed his life.It reminded me of conversations in the studio with players I know. Freewheeling, psychedelic, emotionally charged, intelligent and generous. I enjoyed listening to him, so in this edit I just let him speak uninterrupted. Me, @coryhenry and @dylanpatricewiggins played some sounds underneath to heighten the feeling.I added some writing at the end that I did a single take of w Cory in the summer of 2020. I came back and added a few words and parts over the top of that take more recently. Felt like it fit the wabi sabi of Wim's words.Merry Xmas everyone.""",,Digital,,Promo Art,Used,/frankgold/art/blonded-xmas-with-iceman-announcement.jpg
Upcoming,blonded Xmas With ICEMAN (Apple Promo),Taken from Apple Music before the release of the episode. Contains an extra text at the botton for the extract release time.,,Digital,,Promo Art,Used,/frankgold/art/blonded-xmas-with-iceman-apple-promo.jpg
Upcoming,blonded Xmas With ICEMAN,"Episode 16 of blonded Radio show. It shows a pixelart of iceman with the distorted blonded logo underneath it. Coloring is sightly different, more cooler.",,Digital,,Front Cover,Used,/frankgold/art/blonded-xmas-with-iceman.jpg
Upcoming,Blonde [Vinyl Re-Press],"On December 17, 2022, blonded reissued Frank Ocean’s Blonde on vinyl. The release included a redesigned gatefold, a 12"" × 36"" lyrics foldout, and a 12"" × 24"" poster. The LP sold on blonded.co for $65 and began shipping in January 2023. The refreshed cover artwork adds an “e” to the album’s title and removes the barcode beneath the photo. The gatefold is printed in full color on a bright white canvas, unlike the original Black Friday LP.",Wolfgang Tillmans,Photo,,Front Cover,Used,/frankgold/art/blonde-vinyl-re-press.jpg
Upcoming,Blonde [Vinyl Re-Press],Shows each side with blonde logo in middle.,Frank Ocean,Digital,,Back Cover,Used,/frankgold/art/blonde-vinyl-re-press.jpg
Upcoming,Blonde [Vinyl Re-Press],"Shows another Wolfgang Tillmans photo of Frank Ocean. This shot was taken at the same studio in Berlin, Germany.",Wolfgang Tillmans,Scan,,Booklet,Used,/frankgold/art/blonde-vinyl-re-press.jpg
Upcoming,Blonde [Vinyl Re-Press],"Lyrics sheet of the tracks. Containing credits on top and bottom of the sheet. Features a message on the middle of the sheet, texts reads as the following. ""Cost of master recordings: two Nike gym bags full of unmarked bills, 4 hours on hold with The Chairman’s secretary, 2 (two) approximately 8-minute conversations with The Chairman (as played by Jeremy Strong), $360,000 in retainer fees for King, Holmes, Paterno & Soriano, LLP (since paid), 1(one) 45 minute LP entitled “Endless” made to the spec of recording agreement, 8 pounds of muscle, 720 nights at Mercer Hotel, 365 twelve-hour blocks at Abbey Road Studios, East West Studios, Electric Lady Studios, Shangri-La, Capitol Recording Studios, Question De Son, and seedier establishments that will remain unnamed (or forgotten), 1liver filtering 492 liters of alcohol at the bar of Plastic People, $13,000 on all black designer clothing, 18 flights to Berlin for club, 2 (two) devastating heartbreaks (the third wasn’t devastating)."".",Frank Ocean,Scan,,Booklet,Used,/frankgold/art/blonde-vinyl-re-press.jpg
Upcoming,Channel Orange [Vinyl Re-Press],"The front cover of the 2025 channel ORANGE gatefold vinyl includes a redesigned album artwork featuring a three-by-four photo collage of scenes from Frank Ocean’s 2012–2013 television appearances, promoting his debut studio album. The cover is inspired by the concept of channel surfing through memories, as explored on channel ORANGE. It iterates the “Smiling on TV” digital banner & poster released by blonded on the album’s decennial anniversary, July 10, 2022.",,Digital,,Front Cover,Used,/frankgold/art/channel-orange-vinyl-re-press.png
Upcoming,Channel Orange [Vinyl Re-Press],"The back cover of the 2025 channel ORANGE gatefold jacket also features a three-by-four photo collage, concluding the sequence of scenes from Frank Ocean’s 2012–2013 television appearances, channel surfing through his memories. The back cover does not list the album’s title, tracks, or publishing information, in favor of a minimalist design. The gatefold is packaged in disposable plastic wrap with a barcode sticker on the back cover that reads, “810126907417.”",,Digital,,Back Cover,Used,/frankgold/art/channel-orange-vinyl-re-press.png
